Package Name,Description, Dependencies, Category, URL, How to install
010editor.flare,Professional hex editor with Binary Templates, , Hex Editor, https://www.sweetscape.com, cinst -y 010editor.flare
7zip.flare,7-Zip is a free and open-source file archiver, , Hex Editor, https://www.7-zip.org/, cinst -y 7zip.flare
AD-control-paths.fireeye,Control paths in Active Directory are an aggregation of control relations between entities of the domain which can be visualized as graphs (such as above) and whose purpose is to answer questions like Who can get Domain Admins privileges? or What resources can a user control? and even Who can read the CEOs emails?, , Vulnerability Analysis,https://github.com/ANSSI-FR/AD-control-paths, cinst -y AD-control-paths.fireeye
ADACLScanner.fireeye,A tool with GUI used to create reports of access control lists (DACLs) and system access control lists (SACLs) in Active Directory, , Information Gathering,https://github.com/canix1/ADACLScanner, cinst -y ADACLScanner.fireeye
ADAPE-Script.fireeye,Conducts common Active Directory tests, , Exploitation,https://github.com/hausec/ADAPE-Script, cinst -y ADAPE-Script.fireeye
ADExplorer.fireeye,Active Directory Explorer (AD Explorer) is an advanced Active Directory (AD) viewer and editor., common.fireeye - https://chocolatey.org/packages//adexplorer, Information Gathering, http://technet.microsoft.com/en-us/sysinternals/bb842062, cinst -y ADExplorer.fireeye
adobereader.fireeye,Creates shortcut in Utilities folder on desktop, common.fireeye - https://chocolatey.org/packages//adobereader, Utilities, https://www.adobe.com/products/reader.html, cinst -y adobereader.fireeye
ADOffline.fireeye,Imports an LDAP file from Active Directory for SQL based offline reconnaissance, common.fireeye - https://chocolatey.org/packages//python2 - libraries.python2.fireeye, Information Gathering,https://github.com/stufus/ADOffline, cinst -y ADOffline.fireeye
ADRecon.fireeye,ADRecon is a tool which gathers information about the Active Directory and generates a report which can provide a holistic picture of the current state of the target AD environment., , Information Gathering,https://github.com/sense-of-security/ADRecon, cinst -y ADRecon.fireeye
amass.docker.fireeye,"In-depth DNS Enumeration, Attack Surface Mapping and External Asset Discovery in in Docker", common.fireeye - https://chocolatey.org/packages//autohotkey.portable - docker.fireeye, Docker, https://github.com/OWASP/Amass, cinst -y amass.docker.fireeye
apimonitor.fireeye,Allows creation of process traces that include all windows APIs by name and includes all in and out parameters  Many filtering options., common.fireeye - https://chocolatey.org/packages//apimonitor, Exploitation, http://www.rohitab.com/apimonitor, cinst -y apimonitor.fireeye
apimonitor.flare,Allows creation of process traces that include all windows APIs by name and includes all in and out parameters  Many filtering options., common.fireeye - https://chocolatey.org/packages//apimonitor, Utilities, http://www.rohitab.com/apimonitor, cinst -y apimonitor.flare
apktool.flare,A tool for reverse engineering  Android apps, common.fireeye - https://chocolatey.org/packages//apktool, Android, https://ibotpeaches.github.io/Apktool/, cinst -y apktool.flare
ASREPRoast.fireeye,Project that retrieves crackable hashes from KRB5 AS-REP responses for users without kerberoast preauthentication enabled., , Password Attacks,https://github.com/HarmJ0y/ASREPRoast, cinst -y ASREPRoast.fireeye
autoit.fireeye,Creates a shortcut in the Utilities folder, common.fireeye - https://chocolatey.org/packages//autoit, Utilities, http://www.autoitscript.com/autoit3, cinst -y autoit.fireeye
Autopsy.fireeye ,Autopsy is a digital forensics platform and graphical interface to The Sleuth Kit¨ and other digital forensics tools.,common.fireeye,Forensic,https://github.com/sleuthkit/autopsy,cinst -y Autopsy.fireeye 
binaryninja.flare,A dissassembler for reverse engineers, , Disassemblers, https://binary.ninja/demo.html, cinst -y binaryninja.flare
BloodHound.fireeye,BloodHound uses graph theory to reveal the hidden and often unintended relationships within an Active Directory environment., , Information Gathering,https://github.com/BloodHoundAD/BloodHound, cinst -y BloodHound.fireeye
burp.free.fireeye,Creates a shortcut in the Web Application directory for BurpSuite Free Edition, common.fireeye - https://chocolatey.org/packages//burp-suite-free-edition, Web Application, https://portswigger.net/burp, cinst -y burp.free.fireeye
burp.free.flare,Creates a shortcut in the Web Application directory for BurpSuite Free Edition, common.fireeye - https://chocolatey.org/packages//burp-suite-free-edition, Web Application, https://portswigger.net/burp, cinst -y burp.free.flare
bytecode-viewer.flare,A Java 8+ Jar & Android APK Reverse Engineering Suite, common.fireeye - https://chocolatey.org/packages//javaruntime, Java, https://bytecodeviewer.com/, cinst -y bytecode-viewer.flare
bytehist.fireeye,A tool for generating byte-usage-histograms for all types of files with a special focus on binary executables in PE-format (Windows), , Utilities, https://cert.at/downloads/software/bytehist_en.html, cinst -y bytehist.fireeye
CheckPlease.fireeye,Sandbox evasion modules, , Evasion,https://github.com/Arvanaghi/CheckPlease, cinst -y CheckPlease.fireeye
citrix-receiver.fireeye,Creates a Citrix shortcut in the Networking Tools folder and disables Citrix auto start, common.fireeye - https://chocolatey.org/packages//citrix-receiver, Networking, http://www.citrix.com/downloads/citrix-receiver/windows/, cinst -y citrix-receiver.fireeye
cmder.fireeye,Creates a shortcut in the Utilities directory - pins cmder to taskbar - and changes default ls alias to deconflict with unxUtils package, common.fireeye - https://chocolatey.org/packages//cmder, Utilities, http://cmder.net/, cinst -y cmder.fireeye
cmdermini.flare,Creates a shortcut in the Utilities directory - pins cmder to taskbar - and changes default ls alias to deconflict with unxUtils package, common.fireeye - https://chocolatey.org/packages//cmdermini, Utilities, http://cmder.net/, cinst -y cmdermini.flare
common.fireeye,Fire Eye common shared library, , Utilities, , cinst -y common.fireeye
contextmenu.fireeye,Creates `Open command window here as admin` and `Open PowerShell window here as admin` context menu items, , Utilities,, cinst -y contextmenu.fireeye
Covenant.fireeye,Covenant is a .NET command and control framework, common.fireeye - https://chocolatey.org/packages//dotnetcore-sdk - Rubeus.fireeye - SharpSploit.fireeye - SharpDPAPI.fireeye - SharpUp.fireeye - Seatbelt.fireeye - SharpDump.fireeye - SharpWMI.fireeye, Command and Control,https://github.com/cobbr/Covenant, cinst -y Covenant.fireeye
CrackMapExec.fireeye,A swiss army knife for pentesting networks, , Utilities,https://github.com/byt3bl33d3r/CrackMapExec, cinst -y CrackMapExec.fireeye
CrackMapExecWin.fireeye,The great CrackMapExec tool compiled for Windows, , Exploitation,https://github.com/maaaaz/CrackMapExecWin, cinst -y CrackMapExecWin.fireeye
CredNinja.fireeye,A multithreaded tool designed to identify if credentials are valid invalid or local admin valid credentials within a network at-scale via SMB, common.fireeye - https://chocolatey.org/packages//python3, Password Attacks,https://github.com/Raikia/CredNinja, cinst -y CredNinja.fireeye
cutter.flare,A GUI wrapper for radare2, , Disassemblers, https://github.com/radareorg/cutter, cinst -y cutter.flare
cyberchef.flare,The Cyber Swiss Army Knife, common.fireeye - https://chocolatey.org/packages//googlechrome, Utilities, https://github.com/gchq/CyberChef, cinst -y cyberchef.flare
cygwin.flare,Cygwin is a POSIX-compatible environment that runs natively on Microsoft Windows, common.fireeye - https://chocolatey.org/packages//cygwin, Utilities, https://github.com/fireeye/flare-vm, cinst -y cygwin.flare
DAMP.fireeye,The Discretionary ACL Modification Project: Persistence Through Host-based Security Descriptor Modification, , Exploitation,https://github.com/HarmJ0y/DAMP, cinst -y DAMP.fireeye
de4dot.flare,.NET deobfuscator, , dotNet, https://www.aldeid.com/wiki/PEiD, cinst -y de4dot.flare
DefenderCheck.fireeye,Identifies the bytes that Microsoft Defender flags on., , Evasion,https://github.com/matterpreter/DefenderCheck, cinst -y DefenderCheck.fireeye
demiguise.fireeye,HTA encryption tool, , Evasion,https://github.com/nccgroup/demiguise, cinst -y demiguise.fireeye
